 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0214010066 TESTE RAPIDO DE GRAVIDEZ";8;19;158;29760;29945
"0214010074 TESTE RAPIDO TREPONEMICO (SIFILIS) PARA POPULACAO GERAL(EXCETO GESTANTE, PARCEIRO OU PARCERIA)";44;447;812;58317;59620
"0214010112 TESTE RAPIDO PARA VIRUS ZIKA IGG/IGM";-;-;-;1;1
"0214010120 TESTE RAPIDO PARA DENGUE IGG/IGM";31;16;76;6233;6356
"0214010139 TESTE RAPIDO PARA FEBRE CHIKUNGUNYA IGM";-;-;-;20;20
"0214010147 TESTE RAPIDO DE DENGUE NS1";-;-;40;1202;1242
"0214010163 TESTE RAPIDO PARA DETECCAO DE SARS-COVID-2";127;94;989;48288;49498
"0214010171 TESTE RAPIDO PARA AVALIACAO DE CONTATOS DE HANSENIASE";-;-;-;71;71
"0214010198 TESTE RAPIDO LF-LAM PARA TUBERCULOSE";3;-;3;221;227
"0214010201 TESTE IMUNOCROMATOGRAFICO RAPIDO PARA DETECCAO DE ANTICORPOS EM AMOSTRAS HUMANAS DE SANGUE TOTAL,";-;-;-;137;137
"0214010210 TESTE RAPIDO CRAG PARA CRIPTOCOCOSE";-;-;1;142;143
"0214010228 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B - HBV (HBSAG) PARA";34;78;97;48015;48224
"0214010236 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B - HBV (HBSAG) EM GE";2;10;154;16227;16393
"0214010244 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBV) (HBSAG) EM PA";1;-;14;5539;5554
"0214010252 TESTE RAPIDO TREPONEMICO (SIFILIS) EM GESTANTE";8;6;83;20819;20916
"0214010260 TESTE RAPIDO TREPONEMICO (SIFILIS) EM PARCEIRO OU PARCERIA DE GESTANTE";-;4;14;3981;3999
"0214010279 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV EM GESTANTE";7;5;90;22095;22197
"0214010287 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV EM PARCEIRO OU PARCERIA DE GESTANTE";-;1;12;3276;3289
"0214010295 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C PARA POPULACAO GERAL (EXC";35;76;337;52110;52558
"0214010309 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C EM GESTANTE";6;7;62;15820;15895
"0214010317 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C EM PARCEIRO OU PARCERIA DE";-;1;7;2625;2633
"0301010021 CONSULTA COM IDENTIFICACAO DE CASOS NOVOS DE TUBERCULOSE";-;-;4;716;720
"0301010030 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO PRIMARIA (EXCETO MEDICO)";122;222;4549;1160666;1165559
"0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)";2106;8277;100747;1868329;1979459
"0301010056 CONSULTA MEDICA EM SAUDE DO TRABALHADOR";-;1;69;12240;12310
"0301010064 CONSULTA MEDICA EM ATENCAO PRIMARIA";1229;7065;4705;2042809;2055808
"0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA";1874;35975;116323;2475436;2629608
"0301010099 CONSULTA PARA AVALIACAO CLINICA DO FUMANTE";-;4;16;2262;2282
"0301010102 CONSULTA PARA DIAGNOSTICO/REAVALIACAO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)";-;94;189;9087;9370
"0301010110 CONSULTA PRE-NATAL";49;51;974;115001;116075
"0301010129 CONSULTA PUERPERAL";-;2;27;11480;11509
"0301010137 CONSULTA/ATENDIMENTO DOMICILIAR";20;48;1048;116408;117524
"0301010153 PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMATICA";6;7;485;92340;92838
"0301010161 CONSULTA/ATENDIMENTO DOMICILIAR NA ATENCAO ESPECIALIZADA";-;25;43;3916;3984
"0301010196 AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 1-ANOMALIAS CONGENITAS OU DE MANI";-;4;145;320;469
"0301010200 AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 2- DEFICIENCIA INTELECTUAL";-;-;33;62;95
"0301010218 AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO";-;-;36;29;65
"0301010226 ACONSELHAMENTO GENETICO";-;19;161;151;331
"0301010234 CONSULTA PRE-NATAL DO PARCEIRO";2;-;7;2577;2586
"0301010269 AVALIACAO DO CRESCIMENTO NA PUERICULTURA";2;8;379;132227;132616
"0301010277 AVALIACAO DO DESENVOLVIMENTO DA CRIANCA NA PUERICULTURA";1;3;54;53433;53491
"0301010285 AVALIACAO DO ESTAGIO DE MATURACAO SEXUAL";-;-;5;1660;1665
"0301010293 ATENDIMENTO DE ADOLESCENTES EM CUMPRIMENTO DEÇ¨MEDIDAS SOCIOEDUCATIVAS";-;-;-;35;35
"0301010307 TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA";19;38;1268;16421;17746
